Id,name,Gender,height,weight,URL
127772,Filipe Luís Quick Info,male,5 ft 11¾ in,66 kg,https://healthyceleb.com/filipe-luis-height-weight-age-body-statistics/127772
123944,Paco Alcácer Quick Info,male,5 ft 9¼ in,71 kg,https://healthyceleb.com/paco-alcacer-height-weight-age-body-statistics/123944
124938,Abdoulaye Doucouré Quick Info,male,6 ft,77 kg,https://healthyceleb.com/abdoulaye-doucoure-height-weight-age-body-statistics/124938
124157,LiAngelo Ball Quick Info,male,6 ft 5 in,104 kg,https://healthyceleb.com/liangelo-ball-height-weight-age-body-statistics/124157
100777,Benjamin Pavard Quick Info,male,6 ft 1 in,78 kg,https://healthyceleb.com/benjamin-pavard-height-weight-age-body-statistics/100777
100528,Hugo Lloris Quick Info,male,6 ft 2 in,78 kg,https://healthyceleb.com/hugo-lloris-height-weight-age-body-statistics/100528
100730,Sebastian Vettel Quick Info,male,5 ft 9 in,68 kg,https://healthyceleb.com/sebastian-vettel-height-weight-age-body-statistics/100730
100804,Aleksandr Golovin Quick Info,male,5 ft 10 in,70 kg,https://healthyceleb.com/aleksandr-golovin-footballer-height-weight-age-body-statistics/100804
100582,Enes Kanter Quick Info,male,6 ft 11 in,111 kg,https://healthyceleb.com/enes-kanter-height-weight-age-body-statistics/100582
124086,Antonio Rüdiger Quick Info,male,6 ft 3 in,85 kg,https://healthyceleb.com/antonio-rudiger-height-weight-age-body-statistics/124086
100557,Corentin Tolisso Quick Info,male,5 ft 11 in,78 kg,https://healthyceleb.com/corentin-tolisso-height-weight-age-body-statistics/100557
107601,Marcos Alonso Mendoza Quick Info,male,6 ft 2 in,85 kg,https://healthyceleb.com/marcos-alonso-mendoza-height-weight-age-body-statistics/107601
106633,Daniel Cormier Quick Info,male,5 ft 9¾ in,112 kg,https://healthyceleb.com/daniel-cormier-height-weight-age-body-statistics/106633
106631,T.J. Dillashaw Quick Info,male,5 ft 6.5 in,61 kg,https://healthyceleb.com/t-j-dillashaw-height-weight-age-body-statistics/106631
123913,Cenk Tosun Quick Info,male,6 ft,78 kg,https://healthyceleb.com/cenk-tosun-height-weight-age-body-statistics/123913
98103,Samuel Umtiti Quick Info,male,5 ft 11.25 in,79 kg,https://healthyceleb.com/samuel-umtiti-height-weight-age-body-statistics/98103
124964,Ruben Loftus-Cheek Quick Info,male,6 ft 3 in,85 kg,https://healthyceleb.com/ruben-loftus-cheek-height-weight-age-body-statistics/124964
100409,Kieran Trippier Quick Info,male,5 ft 8 in,70 kg,https://healthyceleb.com/kieran-trippier-height-weight-age-body-statistics/100409
97513,Ahmed Musa Quick Info,male,5 ft 8 in,68 kg,https://healthyceleb.com/ahmed-musa-footballer-height-weight-age-body-statistics/97513
97882,Willian Quick Info,male,5 ft 8.5 in,73 kg,https://healthyceleb.com/willian-footballer-born-1988-height-weight-age-body-statistics/97882
104738,Penny McNamee Quick Info,male,5 ft 5 in,54 kg,https://healthyceleb.com/penny-mcnamee-height-weight-age-body-statistics/104738
104357,Holly Peers Quick Info,male,5 ft 7 in,60 kg,https://healthyceleb.com/holly-peers-height-weight-age-body-statistics/104357
111025,Dimitri Payet Quick Info,male,5 ft 9 in,76 kg,https://healthyceleb.com/dimitri-payet-height-weight-age-body-statistics/111025
111067,LaMelo Ball Quick Info,male,6 ft 6 in,76 kg,https://healthyceleb.com/lamelo-ball-height-weight-age-body-statistics/111067
110930,Shkodran Mustafi Quick Info,male,6 ft 0½ in,73 kg,https://healthyceleb.com/shkodran-mustafi-height-weight-age-body-statistics/110930
111921,Radja Nainggolan Quick Info,male,5 ft 9½ in,71 kg,https://healthyceleb.com/radja-nainggolan-height-weight-age-body-statistics/111921
112690,Steven N’Zonzi Quick Info,male,6 ft 5 in,83 kg,https://healthyceleb.com/steven-nzonzi-height-weight-age-body-statistics/112690
113344,Adama Traoré Quick Info,male,5 ft 10 in,76 kg,https://healthyceleb.com/adama-traore-footballer-born-1996-height-weight-age-body-statistics/113344
96759,Koke (Footballer) Quick Info,male,5 ft 9¼ in,74 kg,https://healthyceleb.com/koke-footballer-born-1992-height-weight-age-body-statistics/96759
96844,N’Golo Kanté Quick Info,male,5 ft 5 in,68 kg,https://healthyceleb.com/ngolo-kante-height-weight-age-body-statistics/96844
96289,Kylian Mbappé Quick Info,male,5 ft 10 in,78 kg,https://healthyceleb.com/kylian-mbappe-height-weight-age-body-statistics/96289
108364,Florian Kohler Quick Info,male,5 ft 10 in,66 kg,https://healthyceleb.com/florian-kohler-height-weight-age-body-statistics/108364
96737,Jordi Alba Quick Info,male,5 ft 6¾ in,68 kg,https://healthyceleb.com/jordi-alba-height-weight-age-body-statistics/96737
97710,Radamel Falcao Quick Info,male,5 ft 10 in,75 kg,https://healthyceleb.com/radamel-falcao-height-weight-age-body-statistics/97710
97365,Douglas Costa Quick Info,male,5 ft 8 in,68 kg,https://healthyceleb.com/douglas-costa-height-weight-age-body-statistics/97365
97351,Fred (Footballer) Quick Info,male,5 ft 6½ in,64 kg,https://healthyceleb.com/fred-footballer-height-weight-age-body-statistics/97351
98135,Christian Eriksen Quick Info,male,5 ft 11 in,76 kg,https://healthyceleb.com/christian-eriksen-height-weight-age-body-statistics/98135
113518,Patrick Cutrone Quick Info,male,6 ft 0.5 in,75 kg,https://healthyceleb.com/patrick-cutrone-height-weight-age-body-statistics/113518
114026,Rashid Khan Quick Info,male,5 ft 6 in,67 kg,https://healthyceleb.com/rashid-khan-cricketer-height-weight-age-body-statistics/114026
113979,Franck Kessié Quick Info,male,6 ft,82 kg,https://healthyceleb.com/franck-kessie-height-weight-age-body-statistics/113979
113685,Kevin De Bruyne Quick Info,male,5 ft 11¼ in,73 kg,https://healthyceleb.com/kevin-de-bruyne-height-weight-age-body-statistics/113685
114283,Ryan Fraser Quick Info,male,5 ft 4 in,67 kg,https://healthyceleb.com/ryan-fraser-height-weight-age-body-statistics/114283
114110,James Maddison Quick Info,male,5 ft 9 in,73 kg,https://healthyceleb.com/james-maddison-height-weight-age-body-statistics/114110
115547,Georginio Wijnaldum Quick Info,male,5 ft 9 in,70 kg,https://healthyceleb.com/georginio-wijnaldum-height-weight-age-body-statistics/115547
96623,Paulo Dybala Quick Info,male,5 ft 9¾ in,75 kg,https://healthyceleb.com/paulo-dybala-height-weight-age-body-statistics/96623
114574,Julian Draxler Quick Info,male,6 ft 1 in,72 kg,https://healthyceleb.com/julian-draxler-height-weight-age-body-statistics/114574
114153,Michy Batshuayi Quick Info,male,6 ft 1 in,84 kg,https://healthyceleb.com/michy-batshuayi-height-weight-age-body-statistics/114153
101080,Aleksandar Kolarov Quick Info,male,6 ft 1½ in,80 kg,https://healthyceleb.com/aleksandar-kolarov-height-weight-age-body-statistics/101080
101982,Hardik Pandya Quick Info,male,6 ft,70 kg,https://healthyceleb.com/hardik-pandya-height-weight-age-body-statistics/101982
107962,Alex Iwobi Quick Info,male,6 ft 1 in,75 kg,https://healthyceleb.com/alex-iwobi-height-weight-age-body-statistics/107962
107771,Marko Arnautovic Quick Info,male,6 ft 3½ in,83 kg,https://healthyceleb.com/marko-arnautovic-height-weight-age-body-statistics/107771
108935,Roberto Pereyra Quick Info,male,5 ft 11¾ in,75 kg,https://healthyceleb.com/roberto-pereyra-height-weight-age-body-statistics/108935
108874,Wilfried Zaha Quick Info,male,5 ft 11 in,66 kg,https://healthyceleb.com/wilfried-zaha-height-weight-age-body-statistics/108874
110251,Axel Witsel Quick Info,male,6 ft 1¼ in,80 kg,https://healthyceleb.com/axel-witsel-height-weight-age-body-statistics/110251
108663,Lorenzo Insigne Quick Info,male,5 ft 4 in,64 kg,https://healthyceleb.com/lorenzo-insigne-height-weight-age-body-statistics/108663
108828,Javier Pastore Quick Info,male,6 ft 1½ in,78 kg,https://healthyceleb.com/javier-pastore-height-weight-age-body-statistics/108828
